;Vertex,頂点Index,位置_x,位置_y,位置_z,法線_x,法線_y,法線_z,エッジ倍率,UV_u,UV_v,追加UV1_x,追加UV1_y,追加UV1_z,追加UV1_w,追加UV2_x,追加UV2_y,追加UV2_z,追加UV2_w,追加UV3_x,追加UV3_y,追加UV3_z,追加UV3_w,追加UV4_x,追加UV4_y,追加UV4_z,追加UV4_w,ウェイト変形タイプ(0:BDEF1/1:BDEF2/2:BDEF4/3:SDEF/4:QDEF),ウェイト1_ボーン名,ウェイト1_ウェイト値,ウェイト2_ボーン名,ウェイト2_ウェイト値,ウェイト3_ボーン名,ウェイト3_ウェイト値,ウェイト4_ボーン名,ウェイト4_ウェイト値,C_x,C_y,C_z,R0_x,R0_y,R0_z,R1_x,R1_y,R1_z
Vertex,17815,-0.3182061,12.91256,-2.012624,-0.06893365,0.6467459,-0.7595842,1,0.46875,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17816,-0.4711946,12.91256,-1.969862,-0.2055567,0.6456684,-0.735431,1,0.453125,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17817,-0.4412041,13.47513,-1.484333,-0.2055567,0.6456684,-0.735431,1,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17818,-0.6241832,12.91256,-1.927101,-0.2055567,0.6456684,-0.735431,1,0.4375,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17819,-0.7651783,12.91256,-1.857661,-0.3378458,0.6444306,-0.6859806,1,0.421875,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17820,-0.6405289,13.47513,-1.390549,-0.3378458,0.6444306,-0.6859806,1,0.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17821,-0.9061733,12.91256,-1.788221,-0.3378458,0.6444306,-0.6859806,1,0.40625,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17822,-1.029757,12.91256,-1.69477,-0.4617745,0.6433091,-0.61067,1,0.390625,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17823,-0.8152385,13.47513,-1.264338,-0.4617745,0.6433091,-0.61067,1,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17824,-1.15334,12.91256,-1.60132,-0.4617745,0.6433091,-0.61067,1,0.375,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
